Step.Sum
1020724,58
1020723,65
1020722,82
1020721,95
1020720,71
1020719,52
1020718,75
1020717,85
1020716,84
1020715,65
1020714,64
1020713,64
1020712,94
1020711,64
1020710,74
1020709,57
1020708,38
1020707,90
1020706,51
1020705,104
1020704,65
1020703,62
1020702,76
1020701,75
1020700,90
1020699,62
1020698,48
1020697,86
1020696,69
1020695,75
1020694,86
1020693,57
1020692,73
1020691,64
1020690,76
1020689,113
1020688,90
1020687,69
1020686,78
1020685,93
1020684,112
1020683,50
1020682,69
1020681,81
1020680,56
1020679,80
1020678,78
1020677,87
1020676,42
1020675,61
1020674,66
1020673,51
1020672,83
1020671,68
1020670,67
1020669,104
1020668,76
1020667,53
1020666,109
1020665,55
1020664,34
1020663,81
1020662,89
1020661,68
1020660,68
1020659,71
1020658,83
1020657,82
1020656,77
1020655,61
1020654,47
1020653,57
1020652,82
1020651,44
1020650,76
1020649,57
1020648,66
1020647,35
1020646,71
1020645,103
1020644,50
1020643,91
1020642,75
1020641,108
1020640,98
1020639,85
1020638,83
1020637,78
1020636,68
1020635,76
1020634,68
1020633,99
1020632,31
1020631,72
1020630,74
1020629,93
1020628,100
1020627,85
1020626,42
1020625,97
1020624,63
1020623,69
1020622,97
1020621,33
1020620,68
1020619,100
1020618,67
1020617,67
1020616,56
1020615,92
1020614,73
1020613,79
1020612,59
1020611,79
1020610,93
1020609,83
1020608,47
1020607,74
1020606,71
1020605,46
1020604,97
1020603,76
1020602,79
1020601,87
1020600,64
1020599,86
1020598,79
1020597,102
1020596,81
1020595,81
1020594,77
1020593,74
1020592,67
1020591,72
1020590,50
1020589,64
1020588,61
1020587,65
1020586,103
1020585,63
1020584,69
1020583,60
1020582,63
1020581,61
1020580,55
1020579,96
1020578,71
1020577,49
1020576,74
1020575,78
1020574,83
1020573,61
1020572,71
1020571,72
1020570,74
1020569,65
1020568,62
1020567,51
1020566,98
1020565,80
1020564,83
1020563,84
1020562,74
1020561,64
1020560,53
1020559,83
1020558,63
1020557,65
1020556,77
1020555,84
1020554,70
1020553,56
1020552,80
1020551,56
1020550,80
1020549,86
1020548,93
1020547,72
1020546,94
1020545,50
1020544,86
1020543,53
1020542,48
