1020789	0225040924	64
1020788	2717051301	63
1020787	2006150119	61
1020786	1303171807	58
1020785	1407150118	55
1020784	0703210523	59
1020783	2810151323	89
1020782	1711050719	59
1020781	0418061101	40
1020780	2518242210	99
1020779	2018281709	92
1020778	2503150819	70
1020777	2625162428	119
1020776	2113261225	97
1020775	0603201628	73
1020774	2514090513	66
1020773	1513051606	55
1020772	0526250821	85
1020771	2024211225	102
1020770	2605151804	68
1020769	0223140416	59
1020768	0906142320	72
1020767	2604162103	70
1020766	1108052320	67
1020765	0126230215	67
1020764	1504182724	88
1020763	2118240103	67
1020762	0120161508	60
1020761	1421050425	69
1020760	2623140811	82
1020759	2516011126	79
1020758	2407150625	77
1020757	1009121803	52
1020756	2713210115	77
1020755	2804101208	62
1020754	1303251227	80
1020753	2207111018	68
1020752	0923122211	77
1020751	2505272215	94
1020750	1428071018	77
1020749	2516171226	96
1020748	1412150527	73
1020747	1202130716	50
1020746	0825221624	95
1020745	1610260124	77
1020744	2610130920	78
1020743	2219141006	71
1020742	2625241121	107
1020741	2327042225	101
1020740	0502282326	84
1020739	0112172314	67
1020738	1305211816	73
1020737	1118130515	62
1020736	2107271613	84
1020735	0425020913	53
1020734	2328021316	82
1020733	2602090105	43
1020732	0924051322	73
1020731	1501262102	65
1020730	0624232713	93
1020729	1301141107	46
1020728	2409041422	73
1020727	1210250509	61
1020726	0802252620	81
1020725	2718062117	89
1020724	0120060922	58
1020723	0717161906	65
1020722	2119121317	82
1020721	1619242610	95
1020720	0204262019	71
1020719	1309101208	52
1020718	0901222617	75
1020717	1825150423	85
1020716	2017132311	84
1020715	0810152804	65
1020714	0502211026	64
1020713	1409111020	64
1020712	2107172722	94
1020711	0805222009	64
1020710	1104261221	74
1020709	1805201103	57
1020708	0207100514	38
1020707	1727072514	90
1020706	0117240405	51
1020705	0728271626	104
1020704	1611070625	65
1020703	0416021426	62
1020702	1319110726	76
1020701	1713122706	75
1020700	2308042728	90
1020699	1007220815	62
1020698	1507111401	48
1020697	0421082627	86
1020696	1924100313	69
1020695	1908161121	75
1020694	1826021723	86
1020693	1012210509	57
1020692	1522072504	73
1020691	1711210609	64
1020690	1125022216	76
1020689	1427282618	113
1020688	1824201315	90
1020687	2321031408	69
1020686	1523250114	78
1020685	2305281324	93
1020684	1822252720	112
1020683	0220030421	50
1020682	1218171309	69
1020681	2508182307	81
1020680	1704092303	56
1020679	1128081419	80
1020678	2202281907	78
1020677	2616250713	87
1020676	0802010328	42
1020675	2615011306	61
1020674	0724171404	66
1020673	1605130809	51
1020672	0626180528	83
1020671	2419060118	68
1020670	0618101419	67
1020669	2223192812	104
1020668	1913231407	76
1020667	0607251203	53
1020666	2713212325	109
1020665	1724050702	55
1020664	0702100312	34
1020663	1506232710	81
1020662	2322150920	89
1020661	1706092412	68
1020660	1817140910	68
1020659	1912130423	71
1020658	1228180223	83
1020657	1321202206	82
1020656	1101192422	77
1020655	0717091612	61
1020654	2109100106	47
1020653	1613050320	57
1020652	0813242017	82
1020651	1011010418	44
1020650	2213260114	76
1020649	1709121306	57
1020648	2005111812	66
1020647	0903010616	35
1020646	0316202507	71
1020645	2003272528	103
1020644	0704052212	50
1020643	1927022221	91
1020642	2206072812	75
1020641	2317272615	108
1020640	2813082425	98
1020639	1726191310	85
1020638	2019250811	83
1020637	0526201413	78
1020636	1009240421	68
1020635	1211231317	76
1020634	1318010828	68
1020633	2425280319	99
1020632	0604080310	31
1020631	1116280512	72
1020630	0421241708	74
1020629	2809221915	93
1020628	0927132328	100
1020627	2024181013	85
1020626	0110130612	42
1020625	1117162726	97
1020624	0306142218	63
1020623	1108220523	69
1020622	2824190125	97
1020621	0107050317	33
1020620	2104270709	68
1020619	1921222612	100
1020618	0408231517	67
1020617	1408231309	67
1020616	0512100722	56
1020615	1726101821	92
1020614	2826070804	73
1020613	2520120418	79
1020612	0215170421	59
1020611	2416141213	79
1020610	1321161825	93
1020609	0126231716	83
1020608	0901240211	47
1020607	1207261415	74
1020606	0619031528	71
1020605	0720010513	46
1020604	1425161824	97
1020603	1105281319	76
1020602	1422122407	79
1020601	1422271707	87
1020600	2419050709	64
1020599	2627080421	86
1020598	2123280403	79
1020597	2325241119	102
1020596	1325201904	81
1020595	2321130915	81
1020594	1127200613	77
1020593	2406200717	74
1020592	1327032004	67
1020591	1108142217	72
1020590	1403040227	50
1020589	0617151412	64
1020588	0608200423	61
1020587	2728010603	65
1020586	2327190628	103
1020585	0314240913	63
1020584	0319251210	69
1020583	0920011812	60
1020582	1209241404	63
1020581	2320130104	61
1020580	0523111402	55
1020579	2312082825	96
1020578	2007081026	71
1020577	0127160203	49
1020576	0403212026	74
1020575	2312100825	78
1020574	0720092621	83
1020573	0812182201	61
1020572	2504211110	71
1020571	1208280321	72
1020570	0723220913	74
1020569	2320071104	65
1020568	0903131027	62
1020567	2701081005	51
1020566	2601252719	98
1020565	1412012825	80
1020564	2709251705	83
1020563	1914170628	84
1020562	2405142803	74
1020561	1511011621	64
1020560	0703180916	53
1020559	1907270921	83
1020558	2308040127	63
1020557	1208182205	65
1020556	1428150119	77
1020555	2324072109	84
1020554	2016260701	70
1020553	0222062303	56
1020552	2726090513	80
1020551	1516120211	56
1020550	2403270125	80
1020549	1119260921	86
1020548	1926201018	93
1020547	1506142611	72
1020546	2314131925	94
1020545	1110180605	50
1020544	1424251211	86
1020543	0624100409	53
1020542	0501170718	48
1020541	1927220721	96
1020540	1807100109	45
1020539	0218281115	74
1020538	2728250421	105
1020537	2413021905	63
1020536	1103220121	58
1020535	1517232007	82
1020534	2011232818	100
1020533	2407252128	105
1020532	1519232412	93
1020531	1015011613	55
1020530	1715101816	76
1020529	0925270304	68
1020528	1215100718	62
1020527	1928222725	121
1020526	2316050118	63
1020525	1708140619	64
1020524	1205092613	65
1020523	1021042714	76
1020522	0801092613	57
1020521	0522142418	83
1020520	1309180401	45
1020519	2809201211	80
1020518	0403142327	71
1020517	1315030821	60
1020516	1916210822	86
1020515	0528121913	77
1020514	1419170625	81
1020513	0502100409	30
1020512	1128121923	93
1020511	1519252402	85
1020510	1718021222	71
1020509	1620151802	71
1020508	0620050121	53
1020507	1424200119	78
1020506	2516060924	80
1020505	2711072220	87
1020504	1219250816	80
1020503	2216211914	92
1020502	1716192214	88
1020501	0501142128	69
1020500	0310071915	54
1020499	1324232615	101
1020498	0516201015	66
1020497	2124192004	88
1020496	0214262225	89
1020495	1513050424	61
1020494	0801242713	73
1020493	0305251923	75
1020492	0921162023	89
1020491	0515021914	55
1020490	0919152801	72
1020489	1810190427	78
1020488	1821221926	106
1020487	2307141825	87
1020486	2306020516	52
1020485	0211261810	67
1020484	2804261122	91
1020483	2508060119	59
1020482	0408221220	66
1020481	0823142006	71
1020480	1924082720	98
1020479	2002142505	66
1020478	2718152617	103
1020477	2417032315	82
1020476	0424230616	73
1020475	2703010918	58
1020474	2128070801	65
1020473	1807172311	76
1020472	0619150210	52
1020471	2725030823	86
1020470	0601230913	52
1020469	0924061719	75
1020468	2223081528	96
1020467	0827062526	92
1020466	1904112825	87
1020465	2710080504	54
1020464	1108051420	58
1020463	1906040112	42
1020462	0815200426	73
1020461	1528060110	60
1020460	1319150911	67
1020459	2220270612	87
1020458	0510042720	66
1020457	0418231911	75
1020456	0619081118	62
1020455	1714220123	77
1020454	2809051823	83
1020453	1711040812	52
1020452	0913040526	57
1020451	1304190209	47
1020450	0323151012	63
1020449	1223251619	95
1020448	1126130801	59
1020447	2524020417	72
1020446	2108172809	83
1020445	1017122514	78
1020444	2115241319	92
1020443	1612080205	43
1020442	1808271306	72
1020441	2201242026	93
1020440	2322161112	84
1020439	1015172611	79
